epoch,batch_loss,average_loss,running_accuracy
0,2.3189282417297363,2.3189282417297363,0.046875
1,2.291700839996338,2.305314540863037,0.1015625
2,2.303142547607422,2.3045905431111655,0.13020833333333334
3,2.291804075241089,2.3013939261436462,0.12109375
4,2.2927346229553223,2.2996620655059816,0.1125
5,2.279839038848877,2.2963582277297974,0.10416666666666667
6,2.2548298835754395,2.2904256071363176,0.13392857142857142
7,2.266188144683838,2.2873959243297577,0.138671875
8,2.224794864654541,2.2804402510325112,0.14930555555555555
9,2.2274532318115234,2.2751415491104128,0.1453125
10,2.2138445377349854,2.269569093530828,0.14772727272727273
11,2.2033982276916504,2.264054854710897,0.15234375
12,2.2084457874298096,2.259777234150813,0.15504807692307693
13,2.1857666969299316,2.2544907672064647,0.15513392857142858
14,2.1338727474212646,2.2464495658874513,0.16979166666666667
15,2.1145682334899902,2.23820698261261,0.1884765625
16,2.0955135822296143,2.229813253178316,0.20588235294117646
17,2.072266101837158,2.221060633659363,0.21788194444444445
18,2.004092216491699,2.2096412432821175,0.23026315789473684
19,2.0224294662475586,2.2002806544303892,0.23515625
20,1.9921905994415283,2.1903716041928245,0.24404761904761904
21,1.9807277917861938,2.180842339992523,0.24786931818181818
22,1.8820116519927979,2.1678497013838394,0.25679347826086957
23,1.820486068725586,2.1533762166897454,0.2688802083333333
24,1.855368971824646,2.1414559268951416,0.276875
25,1.8177026510238647,2.1290038778231692,0.2848557692307692
26,1.7262481451034546,2.1140869988335504,0.2945601851851852
27,1.688637375831604,2.0988923694406236,0.3052455357142857
28,1.5495264530181885,2.0799487171501947,0.3168103448275862
29,1.6871662139892578,2.0668559670448303,0.3234375
30,1.550931692123413,2.050213248498978,0.3316532258064516
31,1.4167026281356812,2.030416041612625,0.34228515625
32,1.406073808670044,2.0114965800083047,0.34990530303030304
33,1.2830357551574707,1.9900712616303389,0.36121323529411764
34,1.4445371627807617,1.9744845730917795,0.36875
35,1.352077603340149,1.9571954905986786,0.3776041666666667
36,1.1552671194076538,1.935521750836759,0.38809121621621623
37,1.2894737720489502,1.9185204882370799,0.39473684210526316
38,1.1894391775131226,1.8998260956544142,0.40024038461538464
39,1.1960256099700928,1.8822310835123062,0.405859375
40,1.2245131731033325,1.8661891832584288,0.4104420731707317
41,1.0049983263015747,1.8456846390451704,0.41629464285714285
42,1.049521803855896,1.8271692242733268,0.42296511627906974
43,0.7972803711891174,1.8037626594305038,0.4325284090909091
44,0.9279976487159729,1.7843012147479587,0.43854166666666666
45,0.8742341995239258,1.7645171491996101,0.4453125
46,0.8548742532730103,1.7451630450309592,0.4521276595744681
47,0.6497269868850708,1.722341460486253,0.4593098958333333
48,0.9625598192214966,1.7068357127053397,0.4655612244897959
49,0.7400493025779724,1.6874999845027923,0.4721875
50,0.7552352547645569,1.6692202839196897,0.47824754901960786
51,0.852999210357666,1.6535237248127277,0.48257211538461536
52,0.6114004254341125,1.633861021050867,0.48879716981132076
53,0.7255598902702332,1.6170406297401145,0.49421296296296297
54,0.5117589235305786,1.596944598718123,0.5011363636363636
55,0.7239159941673279,1.5813548022082873,0.5055803571428571
56,0.565544843673706,1.5635335748655754,0.5112390350877193
57,0.7695362567901611,1.5498439659332406,0.515625
58,0.6740258932113647,1.5349995918193107,0.5214512711864406
59,0.5683414340019226,1.5188886225223541,0.5270833333333333
60,0.6948513388633728,1.5053798145935184,0.5309938524590164
61,0.9006949663162231,1.495626833169691,0.5330141129032258
62,0.704833447933197,1.4830745572135562,0.5364583333333334
63,0.6512432098388672,1.4700771924108267,0.541259765625
64,0.5650123953819275,1.456153118610382,0.5456730769230769
65,0.6468881368637085,1.4438915279778568,0.5490056818181818
66,0.41384342312812805,1.4285176756666667,0.5536380597014925
67,0.5496917963027954,1.4155937656760216,0.5572150735294118
68,0.6102853417396545,1.4039226290972338,0.5602355072463768
69,0.6247710585594177,1.392791892375265,0.5633928571428571
70,0.5406171083450317,1.3807894306283601,0.5671214788732394
71,0.49161016941070557,1.3684397186670039,0.5709635416666666
72,0.6026429533958435,1.3579493520194537,0.5738441780821918
73,0.5301923155784607,1.3467634461216025,0.5766469594594594
74,0.5621476173400879,1.336301901737849,0.5804166666666667
75,0.3480280041694641,1.3232982978224754,0.5849095394736842
76,0.6234117746353149,1.3142088624564083,0.5878652597402597
77,0.346368670463562,1.3018006548667564,0.5917467948717948
78,0.6519880890846252,1.293575179350527,0.5931566455696202
79,0.43162012100219727,1.2828007411211728,0.5962890625
80,0.5693356990814209,1.2739925307256204,0.5981867283950617
81,0.4235014319419861,1.2636206880575274,0.6013719512195121
82,0.5132367014884949,1.254579917135009,0.6033509036144579
83,0.7389445900917053,1.2484414013368743,0.6052827380952381
84,0.5214657783508301,1.2398887469488031,0.6079044117647059
85,0.5600621104240417,1.2319837860589804,0.610828488372093
86,0.5412868857383728,1.2240447412277091,0.6127873563218391
87,0.5406268835067749,1.2162786292081529,0.615234375
88,0.4181426167488098,1.2073108088434412,0.617626404494382
89,0.48156028985977173,1.199246914188067,0.6203125
90,0.4132539629936218,1.1906096290101063,0.6229395604395604
91,0.5944153070449829,1.1841292559452679,0.625
92,0.46854400634765625,1.1764347908958313,0.6271841397849462
93,0.6583528518676758,1.17092328090617,0.6293218085106383
94,0.4835991859436035,1.1636882904328798,0.6317434210526316
95,0.5083762407302856,1.1568621232484777,0.6339518229166666
96,0.5146682262420654,1.1502415676092363,0.6357925257731959
97,0.3712582588195801,1.1422927583358726,0.6383928571428571
98,0.43161895871162415,1.1351142351073449,0.6407828282828283
99,0.36327970027923584,1.1273958897590637,0.6428125
100,0.3617604672908783,1.119815341021755,0.6454207920792079
101,0.2490002065896988,1.1112779377430093,0.6484375
102,0.5077371597290039,1.1054183185389899,0.6506371359223301
103,0.3862777054309845,1.098503504951413,0.6527944711538461
104,0.6880224943161011,1.0945941619929813,0.6538690476190476
105,0.42120563983917236,1.08824144008587,0.6556603773584906
106,0.43585601449012756,1.0821443800335733,0.6575642523364486
107,0.4166744351387024,1.0759826212845467,0.6595775462962963
108,0.29314374923706055,1.068800613284111,0.6618405963302753
109,0.41100597381591797,1.0628206620162184,0.6639204545454546
110,0.23591840267181396,1.0553710921122148,0.6662443693693694
111,0.49122995138168335,1.0503341176414065,0.66796875
112,0.2992651164531708,1.043687489312307,0.6699391592920354
113,0.39425674080848694,1.037990728360519,0.6721491228070176
114,0.3081114590167999,1.0316439521053562,0.6741847826086956
115,0.3475799262523651,1.0257468484342098,0.6761853448275862
116,0.3275865316390991,1.0197796662393799,0.6780181623931624
117,0.25296854972839355,1.0132812669469138,0.6800847457627118
118,0.4092346727848053,1.0082052451472323,0.6815913865546218
119,0.44812026619911194,1.0035378703226645,0.6828125
120,0.2114018350839615,0.996991291519039,0.6847882231404959
121,0.3447154462337494,0.9916447681970284,0.6867315573770492
122,0.5808485150337219,0.9883049612607413,0.688135162601626
123,0.26399171352386475,0.9824637253918955,0.6901461693548387
124,0.5210161805152893,0.9787721450328827,0.691125
125,0.460509330034256,0.9746589480884491,0.6924603174603174
126,0.3454369902610779,0.9697044444835092,0.6943897637795275
127,0.3159724175930023,0.9645971630234271,0.69580078125
128,0.5663115978240967,0.9615096780218819,0.6967054263565892
129,0.4732307493686676,0.957753686263011,0.6979567307692308
130,0.48471882939338684,0.954142733157136,0.6987118320610687
131,0.5032751560211182,0.9507270696939845,0.6996922348484849
132,0.4685894846916199,0.9471019750699065,0.7010103383458647
133,0.4381149709224701,0.9433035645911942,0.7019589552238806
134,0.29499387741088867,0.9385012706120809,0.7034722222222223
135,0.49760451912879944,0.9352593827335274,0.7048483455882353
136,0.4257459342479706,0.9315403064672094,0.7062043795620438
137,0.41177329421043396,0.9277738788421603,0.7070878623188406
138,0.3895399570465088,0.9239016923544218,0.70818345323741
139,0.24325443804264069,0.9190399262521948,0.7098214285714286
140,0.3051352798938751,0.9146859925900791,0.7113253546099291
141,0.3452509045600891,0.9106758863363468,0.7125880281690141
142,0.44785937666893005,0.9074394072477634,0.7137237762237763
143,0.3553607165813446,0.9036055274514688,0.7149522569444444
144,0.4482046365737915,0.9004648316523124,0.7160560344827587
145,0.4011324942111969,0.897044747149291,0.7170376712328768
146,0.33014631271362305,0.8931882952143546,0.7186437074829932
147,0.3007390797138214,0.8891852599744862,0.7200168918918919
148,0.3366325795650482,0.885476852723416,0.72126677852349
149,0.34205955266952515,0.8818540707230568,0.7223958333333333
150,0.49330389499664307,0.8792808907513587,0.7229925496688742
151,0.5030229091644287,0.87680550929355,0.7235814144736842
152,0.6312668323516846,0.8752006813396815,0.7243668300653595
153,0.3135335445404053,0.8715534921396862,0.7255478896103896
154,0.37348607182502747,0.8683401539441078,0.7266129032258064
155,0.41146549582481384,0.8654114702382149,0.7274639423076923
156,0.5309962034225464,0.8632814366916183,0.7283041401273885
157,0.3291846811771393,0.8599010774795013,0.7293314873417721
158,0.39394548535346985,0.8569705391642433,0.7300511006289309
159,0.3478543758392334,0.853788563143462,0.73095703125
160,0.3260900378227234,0.8505109325514076,0.7320458074534162
161,0.3932827413082123,0.8476885363091657,0.7330246913580247
162,0.4284994304180145,0.8451168240030851,0.7335122699386503
163,0.19712898135185242,0.8411656786210653,0.7348513719512195
164,0.30659759044647217,0.8379258720260678,0.7357954545454546
165,0.20810610055923462,0.8341317770172314,0.7370105421686747
166,0.3055984675884247,0.8309669069008913,0.7383046407185628
167,0.33019179105758667,0.8279861026399192,0.7391183035714286
168,0.33371224999427795,0.8250614052869865,0.7400147928994083
169,0.2975589632987976,0.8219584497458795,0.7409007352941176
170,0.3122008740901947,0.8189774112917526,0.7417763157894737
171,0.5045502781867981,0.8171493465643983,0.7424600290697675
172,0.3581058084964752,0.8144959157085143,0.7434067919075145
173,0.21273818612098694,0.8110375379522642,0.7444324712643678
174,0.19756145775318146,0.8075319603511265,0.745625
175,0.24836015701293945,0.8043548478321596,0.7466264204545454
176,0.3315942883491516,0.8016838842192612,0.747704802259887
177,0.2271547019481659,0.7984561921840303,0.7485955056179775
178,0.29745906591415405,0.7956573255568243,0.7493016759776536
179,0.38424748182296753,0.7933717153138584,0.7499131944444445
180,0.3226316273212433,0.7907709413470484,0.7507769337016574
181,0.3682253360748291,0.788449262197201,0.7515453296703297
182,0.13416427373886108,0.7848739343914178,0.7528176229508197
183,0.3619178235530853,0.7825752598759921,0.7537364130434783
